Welcome to Ubuntu 14.04.4 LTS (GNU/Linux 4.2.0-27-generic i686)

 * Documentation:  https://help.ubuntu.com/

21 packages can be updated.
21 updates are security updates.

*** System restart required ***
Last login: Tue May 17 10:46:57 2016 from 192.168.188.1

ps -ef

 
 exit

naval@ubuntu:~$ ps -ef
UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 May15 ?        00:00:02 /sbin/init
root         2     0  0 May15 ?        00:00:00 [kthreadd]
root         3     2  0 May15 ?        00:00:09 [ksoftirqd/0]
root         5     2  0 May15 ?        00:00:00 [kworker/0:0H]
root         7     2  0 May15 ?        00:00:30 [rcu_sched]
root         8     2  0 May15 ?        00:00:00 [rcu_bh]
root         9     2  0 May15 ?        00:00:00 [migration/0]
root        10     2  0 May15 ?        00:00:01 [watchdog/0]
root        11     2  0 May15 ?        00:00:00 [khelper]
root        12     2  0 May15 ?        00:00:00 [kdevtmpfs]
root        13     2  0 May15 ?        00:00:00 [netns]
root        14     2  0 May15 ?        00:00:00 [perf]
root        15     2  0 May15 ?        00:00:00 [khungtaskd]
root        16     2  0 May15 ?        00:00:00 [writeback]
root        17     2  0 May15 ?        00:00:00 [ksmd]
root        18     2  0 May15 ?        00:00:34 [khugepaged]
root        19     2  0 May15 ?        00:00:00 [crypto]
root        20     2  0 May15 ?        00:00:00 [kintegrityd]
root        21     2  0 May15 ?        00:00:00 [bioset]
root        22     2  0 May15 ?        00:00:00 [kblockd]
root        23     2  0 May15 ?        00:00:00 [ata_sff]
root        24     2  0 May15 ?        00:00:00 [md]
root        25     2  0 May15 ?        00:00:00 [devfreq_wq]
root        29     2  0 May15 ?        00:01:17 [kswapd0]
root        30     2  0 May15 ?        00:00:00 [fsnotify_mark]
root        31     2  0 May15 ?        00:00:00 [ecryptfs-kthrea]
root        42     2  0 May15 ?        00:00:00 [kthrotld]
root        43     2  0 May15 ?        00:00:00 [acpi_thermal_pm]
root        45     2  0 May15 ?        00:00:00 [scsi_eh_0]
root        46     2  0 May15 ?        00:00:00 [scsi_tmf_0]
root        47     2  0 May15 ?        00:00:00 [scsi_eh_1]
root        48     2  0 May15 ?        00:00:00 [scsi_tmf_1]
root        50     2  0 May15 ?        00:00:00 [ipv6_addrconf]
root        71     2  0 May15 ?        00:00:00 [deferwq]
root        72     2  0 May15 ?        00:00:00 [charger_manager]
root       118     2  0 May15 ?        00:00:00 [scsi_eh_2]
root       119     2  0 May15 ?        00:00:00 [scsi_tmf_2]
root       120     2  0 May15 ?        00:00:00 [mpt_poll_0]
root       121     2  0 May15 ?        00:00:00 [scsi_eh_3]
root       122     2  0 May15 ?        00:00:00 [mpt/0]
root       123     2  0 May15 ?        00:00:00 [scsi_tmf_3]
root       124     2  0 May15 ?        00:00:00 [scsi_eh_4]
root       125     2  0 May15 ?        00:00:00 [scsi_tmf_4]
root       126     2  0 May15 ?        00:00:00 [scsi_eh_5]
root       127     2  0 May15 ?        00:00:00 [scsi_tmf_5]
root       128     2  0 May15 ?        00:00:00 [scsi_eh_6]
root       129     2  0 May15 ?        00:00:00 [scsi_tmf_6]
root       130     2  0 May15 ?        00:00:00 [kpsmoused]
root       131     2  0 May15 ?        00:00:00 [scsi_eh_7]
root       132     2  0 May15 ?        00:00:00 [scsi_tmf_7]
root       133     2  0 May15 ?        00:00:00 [scsi_eh_8]
root       134     2  0 May15 ?        00:00:00 [scsi_tmf_8]
root       135     2  0 May15 ?        00:00:00 [scsi_eh_9]
root       136     2  0 May15 ?        00:00:00 [scsi_tmf_9]
root       137     2  0 May15 ?        00:00:00 [scsi_eh_10]
root       138     2  0 May15 ?        00:00:00 [scsi_tmf_10]
root       139     2  0 May15 ?        00:00:00 [scsi_eh_11]
root       140     2  0 May15 ?        00:00:00 [scsi_tmf_11]
root       141     2  0 May15 ?        00:00:00 [scsi_eh_12]
root       142     2  0 May15 ?        00:00:00 [scsi_tmf_12]
root       143     2  0 May15 ?        00:00:00 [scsi_eh_13]
root       144     2  0 May15 ?        00:00:00 [scsi_tmf_13]
root       145     2  0 May15 ?        00:00:00 [scsi_eh_14]
root       146     2  0 May15 ?        00:00:00 [scsi_tmf_14]
root       147     2  0 May15 ?        00:00:00 [scsi_eh_15]
root       148     2  0 May15 ?        00:00:00 [scsi_tmf_15]
root       149     2  0 May15 ?        00:00:00 [scsi_eh_16]
root       150     2  0 May15 ?        00:00:00 [scsi_tmf_16]
root       151     2  0 May15 ?        00:00:00 [scsi_eh_17]
root       152     2  0 May15 ?        00:00:00 [scsi_tmf_17]
root       153     2  0 May15 ?        00:00:00 [scsi_eh_18]
root       154     2  0 May15 ?        00:00:00 [scsi_tmf_18]
root       155     2  0 May15 ?        00:00:00 [scsi_eh_19]
root       156     2  0 May15 ?        00:00:00 [scsi_tmf_19]
root       157     2  0 May15 ?        00:00:00 [scsi_eh_20]
